,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Direction_of_Melodic_Motion,Average_Interval_Spanned_by_Melodic_Arcs,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Variability_in_Rhythmic_Value_Run_Lengths,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Variability
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--1.midi",0.0698, 0.1888, 0.9038, 0.7393, 10.12, 3.326, 13.0, 0.1203, 0.5774, 0.0, 0.06128, 0.1816, 0.09396, 0.04766, 0.01362, 0.05946, 0.08125, 0.02724, 0.04539, 0.4498, 0.4866, 16.42, 0.8233, 0.9199, 0.1709, 0.009396, 0.00179, 0.4523, 0.82, 0.4203, 1.806, 0.007451, 0.007451
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_09_R1_2013_wav--2.midi",0.09005, 0.2876, 0.832, 0.4232, 16.13, 3.269, 11.0, 0.1786, 0.8222, 0.02662, 0.1468, 0.1998, 0.07865, 0.03664, 0.01856, 0.03835, 0.06448, 0.03298, 0.1786, 0.3254, 0.4908, 19.67, 0.9617, 0.9816, 0.03805, 0.001654, 0.0, 0.8866, 1.0, 0.1474, 21.61, 0.006603, 0.006603
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_13_R1_2013_wav--1.midi",0.06886, 0.1864, 0.9108, 0.7435, 10.12, 3.336, 13.0, 0.111, 0.6225, 0.003567, 0.06866, 0.1797, 0.08471, 0.04993, 0.01382, 0.0593, 0.08382, 0.0214, 0.0477, 0.4561, 0.4913, 16.29, 0.8829, 0.9382, 0.1118, 0.01009, 0.0, 0.4553, 0.9393, 0.3578, 2.254, 0.007321, 0.007321
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_10_R1_2013_wav--2.midi",0.05816, 0.162, 0.9686, 0.8894, 10.92, 3.451, 1.0, 0.1902, 0.6961, 0.03432, 0.1156, 0.3059, 0.2115, 0.04737, 0.02835, 0.05744, 0.08728, 0.03693, 0.05371, 0.1373, 0.4542, 12.62, 0.8497, 0.8969, 0.1379, 0.02304, 0.004389, 0.6525, 1.0, 0.7315, 2.584, 0.006545, 0.006545
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_01_R1_2013_wav--2.midi",0.05259, 0.1578, 0.9135, 0.9471, 12.47, 3.319, 11.0, 0.1336, 0.6048, 0.06348, 0.08082, 0.1422, 0.1232, 0.03654, 0.04961, 0.02827, 0.09869, 0.03201, 0.1336, 0.2923, 0.4833, 17.66, 0.8207, 0.8895, 0.1671, 0.02225, 0.001264, 0.6187, 1.0, 0.5211, 7.563, 0.006765, 0.006765
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_10_13_Group_MID--AUDIO_08_R3_2013_wav--2.midi",0.06114, 0.1658, 0.9661, 0.8898, 10.37, 3.576, 1.0, 0.1127, 0.7373, 0.00531, 0.0831, 0.1958, 0.1114, 0.03783, 0.01925, 0.04182, 0.07208, 0.03412, 0.03704, 0.4454, 0.478, 16.68, 0.7378, 0.8562, 0.24, 0.03614, 0.003109, 0.3833, 1.0, 0.6859, 1.731, 0.006852, 0.006852
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_02_R1_2013_wav--2.midi",0.05234, 0.1585, 0.9091, 0.9431, 12.56, 3.327, 11.0, 0.1377, 0.5744, 0.05603, 0.07912, 0.1385, 0.1191, 0.03502, 0.04669, 0.03268, 0.0978, 0.03139, 0.1377, 0.3051, 0.4685, 17.92, 0.839, 0.878, 0.149, 0.02254, 0.002755, 0.6203, 1.0, 0.512, 6.607, 0.006884, 0.006884
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--3.midi",0.04597, 0.15, 0.9151, 0.9191, 13.0, 3.397, 1.0, 0.1195, 0.8604, 0.007665, 0.1195, 0.2223, 0.1172, 0.03472, 0.0275, 0.04238, 0.0807, 0.03652, 0.08251, 0.3485, 0.493, 17.94, 0.9393, 0.9727, 0.05898, 0.004337, 0.0, 0.7394, 1.0, 0.2128, 4.168, 0.006642, 0.006642
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_04_R1_2013_wav--3.midi",0.04662, 0.1558, 0.9946, 0.8309, 13.7, 3.364, 9.0, 0.127, 0.6926, 0.01209, 0.01319, 0.04067, 0.141, 0.04809, 0.05139, 0.05688, 0.1525, 0.03902, 0.127, 0.3314, 0.4704, 20.49, 0.8523, 0.9227, 0.1406, 0.01571, 0.001013, 0.6833, 1.0, 0.4497, 6.278, 0.006349, 0.006349
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--2.midi",0.04404, 0.1338, 0.9384, 0.9312, 15.74, 3.565, 9.0, 0.08391, 0.9739, 0.004844, 0.05813, 0.1294, 0.1491, 0.06891, 0.02391, 0.04094, 0.09422, 0.02531, 0.08172, 0.3817, 0.4734, 20.49, 0.8362, 0.8977, 0.1492, 0.02383, 0.003922, 0.552, 1.0, 0.7148, 5.916, 0.006643, 0.006643
